Distance_(inches),647,FAM,550
0.000000,155.1455,111.6595,1226.6591
0.003333,151.8133,119.4060,1166.2454
0.006667,142.6513,95.4968,1117.8951
0.010000,135.4642,160.8577,1063.7662
0.013333,125.7507,153.9592,1012.1662
0.016667,118.8481,264.4331,961.0068
0.020000,110.1879,227.4047,911.9739
0.023333,104.0506,333.5589,857.7425
0.026667,97.2776,242.8620,799.0944
0.030000,89.1067,540.9857,734.2719
0.033333,83.3617,235.5719,665.9259
0.036667,76.4589,313.1794,608.2380
0.040000,70.7781,198.3188,558.0380
0.043333,62.5321,292.6202,498.8245
0.046667,56.1380,210.8937,452.8800
0.050000,52.6019,436.8654,402.7853
0.053333,43.6362,243.2764,346.8763
0.056667,36.9726,167.9328,305.1023
0.060000,35.2407,50.0889,283.2368
0.063333,40.0360,19.1419,268.5833
0.066667,33.9884,47.3243,248.3358
0.070000,30.1422,132.9744,236.2046
0.073333,27.2035,365.6097,214.7232
0.076667,25.3491,333.3564,197.5033
0.080000,23.3768,313.9215,182.5784
0.083333,21.3917,502.4768,168.7556
0.086667,19.1844,369.8134,152.7015
0.090000,16.9075,401.0153,132.4516
0.093333,14.5408,633.4239,120.9337
0.096667,12.7416,1015.9873,105.3398
0.100000,10.6952,1110.6764,87.4307
0.103333,8.5251,564.5161,73.3272
0.106667,7.2486,611.7552,56.9690
0.110000,5.0318,1610.6282,40.1015
0.113333,2.8497,3273.7517,71.9967
0.116667,0.9392,3539.7441,8.0954
0.120000,0.0000,3432.0830,0.0000
0.123333,0.0000,2115.3137,0.0000
0.126667,0.0000,2358.7964,0.0000
0.130000,0.0000,2803.7307,0.0000
0.133333,0.0000,2851.1023,0.0000
0.136667,0.0000,2685.2644,0.0000
0.140000,0.0000,2319.8389,0.0000
0.143333,0.0000,1688.4493,0.0000
0.146667,0.0000,682.7310,0.0000
0.150000,0.0000,379.4802,0.0000
0.153333,0.0000,34.0504,0.0000
0.156667,0.0000,33.0236,0.0000
0.160000,0.0000,124.0714,0.0000
0.163333,0.0000,114.3155,0.6522
0.166667,0.0000,38.1081,153.3280
0.170000,0.0000,278.4313,1270.1790
0.173333,0.0000,140.2975,3002.3877
0.176667,0.0000,156.1947,4961.7598
0.180000,0.0000,164.7938,6024.4478
0.183333,0.0000,131.3040,6249.1221
0.186667,6.3990,31.6003,5873.4224
0.190000,43.9815,30.8656,5471.9043
0.193333,46.4548,0.0000,4835.8760
0.196667,14.5114,0.0000,4216.8750
